article_id,Authors,Title,Year,DOI,Abstract,Author Keywords,Index Keywords
5464,"Xu, Minrui (57221948855); Ren, Xiaoxu (57207202294); Niyato, Dusit (8919714700); Kang, Jiawen (55960988400); Qiu, Chao (56673534800); Xiong, Zehui (57201881045); Wang, Xiaofei (35118116900); Leung, Victor C. M. (7102336029)",When Quantum Information Technologies Meet Blockchain in Web 3.0,2024,10.1109/MNET.134.2200578,"With the drive to create a decentralized digital economy, Web 3.0 has become a cornerstone of digital transformation, developed on the basis of computing power networks, distributed data storage, and blockchain. With the rapid realization of quantum devices, Web 3.0 is being developed in parallel with the deployment of quantum cloud computing and quantum Internet. In this regard, quantum computing first disrupts the original cryptographic systems that protect data security while reshaping modern cryptography with the advantages of quantum computing and communication. Therefore, in this paper, we introduce a quantum blockchain-driven Web 3.0 framework that provides information-theoretic security for decentralized data transferring and payment transactions. First, we present the framework of quantum blockchain-driven Web 3.0 with futureproof security during the transmission of data and transaction information. Next, we discuss the potential applications and challenges of implementing quantum blockchain in Web 3.0. Finally, we describe a use case for quantum non-fungible tokens (NFTs) and propose a quantum deep learning-based optimal auction for NFT trading to maximize the achievable revenue for sufficient liquidity in Web 3.0. In this way, the proposed framework can achieve proven security and sustainability for the next-generation decentralized digital society.  ? 1986-2012 IEEE.",,Computing power; Deep learning; Digital storage; Economics; Electric power transmission; Metadata; Quantum computers; Quantum cryptography; Quantum entanglement; Quantum optics; Semantic Web; Block-chain; Computing power; Decentralised; Digital economy; Digital transformation; Quantum Computing; Quantum information technologies; Security; Semantic-Web; Web 3.0; Blockchain
5465,"Anggadwita, Grisna (56540008500); Indarti, Nurul (36680038200); Ratten, Vanessa (16307588600)",Changes in Indonesian private universities educational practices in the post COVID-19 environment,2024,10.1016/j.ijme.2023.100905,"Education was one of the sectors most significantly affected by the Covid-19 due to social distancing and home study requirements, which resulted in educational institutions changing the learning process in terms of how classes were delivered. However, whilst there were difficulties from the Covid-19 pandemic, it also resulted in a unique opportunity to implement digital transformation of the education system by bringing about positive change. As a consequence educators and students are required to be able to quickly adapt to changes in the online learning system, and educational institutions must invest and update infrastructure by developing online learning platforms that facilitate the teaching and learning process. Using the lens of Lewin's change model, this study aims to explore the effects of the Covid-19 pandemic on educational practices, educator perspectives and key determinants of readiness behavior in universities. This study uses a qualitative method by conducting semi-structured in-depth interviews with seventeen key informants who are educators in private universities in Indonesia. This study found that most educators experienced problems during online learning practices, and they realized that these changes in educational practices would continue in the post-Covid era. We also identify two key determinants of behavioural readiness for dealing with change: adaptability and engagement initiative, and innovation in educational practice that helps to understand the digitalization process caused by the Covid-19 pandemic. This study has both practical and academic implications by providing recommendations for education policy makers, practitioners and researchers on post-Covid education systems and how to deal with future crises. ? 2023",Digital transformation; Education practices; Educational institution; Learning process; Online learning,
5466,"Riantono, Ignatius Edward (57211265262); Rusmanto, Toto (56820218600); Abdinagoro, Sri Bramantoro (57193864630); Warganegara, Dezie Leonarda (8675265200)",THE ROLE OF DIGITAL AND FINANCIAL LITERACIES IN DRIVING SME'S DIGITAL INTENSITY FOR STRATEGIC ENTREPRENEURSHIP: A SYSTEMATIC LITERATURE REVIEW AND DIRECTION FOR FUTURE RESEARCH,2024,10.34109/ijebeg.2024160218,"Small and medium-sized enterprises (SMEs) have become significant drivers of economic growth worldwide, contributing significantly to employment and innovation. As the global business landscape undergoes a digital transformation, SMEs face increasing pressure to adapt and integrate digital technologies. This abstract delves into the critical role of digital and financial literacies as predictive factors in determining the extent of digitalization. However, the rate of digital adoption of SMEs is very different. This may be due to the digital and financial capabilities that SMEs and their workers possess. This abstract emphasizes the crucial role of digital and financial literacy as predators in an increasingly digital-centric business landscape, where small and medium-sized enterprises (SMEs) face the imperative to adopt digital technologies for sustainable growth and competitiveness. Digital literacy encompasses the ability to effectively utilize digital tools and technologies. Digitalization has become a powerful force that is changing traditional business models and operational paradigms. The literature review highlights the main obstacles that SMEs must overcome in order for them to acquire financial and digital literacy. It also looks at ways to overcome these obstacles with the help of policy support, training initiatives, and focused interventions. Policymakers and practitioners stand to gain a great deal from an understanding of the factors that influence SME digital intensity. The article explores possible legislative changes as well as useful tactics to improve SMEs’ financial and digital literacy and create an environment that is favourable to strategic entrepreneurship. A literature review is a method for systematically, explicitly, comprehensively, and reproducibly identifying, evaluating, and synthesizing research that has been written and documented by researchers. It can be used to find holes in the literature, synthesize current knowledge, and provide a foundation for future research. In this study, the researchers used various database journals, including Scopus indexed database journals and google scholar. They also use the VosViewer program to perform multi category analysis. In order to shed light on the factors that influence SME digital intensity, this review synthesizes the body of research, paying particular attention to the roles that digital and financial literacy play together. This research advances our knowledge of these factors, which adds to the current conversation on strategic entrepreneurship and establishes the framework for upcoming empirical investigations and useful interventions to assist SMEs in navigating the digital environment. ? (2024), (Social Sciences Research Society). All rights reserved.",Digital Innovation; Digital Intensity; Digital Transformation; Digitalization; Small Business,
5467,"Onoue, Takeshi (56119042400); Asada, Yoshikazu (56533270100); Imafuku, Rintaro (56716400900); Kou, Seisyou (59417804300); Takami, Hideki (55861946800); Takahashi, Yuzo (59417773100); Nomura, Osamu (56442383200); Saiki, Takuya (17136256500)",Developing competencies relating to information science and technology in Japanese undergraduate medical education,2024,10.1080/0142159X.2024.2385199,"In response to the growing expectation and recognized potential for integrating information and communication technology (ICT) into medicine, the Model Core Curriculum for Medical Education in Japan incorporated ‘the ability to use information science and technology’ as a new competency in its 2022 revision. This study aimed to identify specific learning objectives that medical students should achieve to acquire this competency. The research team developed an initial list of 107 learning objectives through a literature survey. Subsequently, two rounds of expert panel surveys were conducted to refine these objectives. Seventy-four medical education stakeholders participated in the expert panel, including medical and non-medical faculty, medical students, graduate students, and university staff. Through the expert panel surveys, 13 learning objectives were finally established from the initial list, consisting of three categories: ‘Ethics and rules for dealing with information science and technology,’ ‘Principles of information science and technology necessary for medical care and surrounding society,’ and ‘Application of information science and technology in clinical practice.’ Our investigation effectively identified essential components of competencies for integrating ICT into medical education. The identified learning objectives would provide valuable insights for designing curricula for undergraduates in the new era of information and artificial intelligence. ? 2024 Informa UK Limited, trading as Taylor & Francis Group.",Competencies; digital health; digital transformation; information and communication technology (ICT); information science and technology,"Clinical Competence; Curriculum; East Asian People; Education, Medical, Undergraduate; Humans; Information Science; Japan; Students, Medical; article; artificial intelligence; communication technology; curriculum; digital health; digital transformation; graduate student; human; information science; Japan; medical care; medical education; medical school; medical student; university staff; clinical competence; curriculum; East Asian; education; information science; organization and management; psychology"
5468,"Wang, Xu-Liang (57204077621); Li, Jing (59485666600)",Digital Transformation in Higher Education: An ArchiMate-Based Business Architecture Case Study,2024,10.1109/ACCESS.2024.3520829,"In response to the multifaceted challenges faced by higher education institutions (HEIs), such as demographic shifts, labor market demands, and the need for digital learning, this study explores the digital transformation (DT) journey through a business architecture approach. Using a design science methodology, qualitative and inductive methods, and the ArchiMate language, the research offers theoretical insights and practical guidelines for HEIs undergoing similar transformations. Data were collected through semi-structured interviews with key stakeholders and through the learning platform of XYZ University. The study delineates comprehensive architecture views, including motivation, goals, outcomes, courses of action, value streams, capabilities, information, and business processes. It proposes a three-stage transformation pathway: digitization, digitalization, and digital transformation. At XYZ University, adopting digital technologies has enhanced student-teacher interactions, peer collaborations, and digital platform usage, improving academic performance and pass rates. Aligning the curriculum with industry needs has also increased employer and student satisfaction. The study concludes that successful DT in HEIs depends on developing a comprehensive business architecture. This integrated approach effectively guides HEIs toward realizing their DT objectives.  ? 2013 IEEE.",ArchiMate; business architecture; business capability; Digital transformation; higher education institutions; value proposition,Teaching; Archimate; Business architecture; Business capability; Case-studies; Demographic shifts; Digital transformation; High educations; Higher education institutions; Labour market; Value proposition; Students
5469,"Martinez-Ulloa, Lorena (57787467200); Flores, Arturo (57802356400); Maldonado-Aguayo, Yolanda (59336212300); Fuentealba-Urra, Sergio (57195334615); Rubio, Andrés (57200036928); Guerrero, Jenny (59335223200); Ravazzano, Claudia (59335884800)",Incorporation of a digital health literacy model into the curricula of medical and rehabilitation science courses in higher education; [Incorporación de un modelo de alfabetización digital en salud en el currículum de carreras de ciencias de la salud y rehabilitación en Educación Superior],2024,10.56294/saludcyt2024909,"Introduction: currently, digital resources have changed the way we live in areas such as education and health. This scenario was reinforced after the COVID-19 pandemic, where society had to quickly adapt to virtual scenarios to access health services. In this way, electronic health (eHealth) is positioned as a relevant issue in the training of university health professionals and as a way to make higher education relevant to the innovation and digital transformation experienced by the health system. This research proposes as a general objective to analyze the degree of association between university education models and the development of health literacy for health and rehabilitation students. Method: the study, quantitative descriptive-correlational and cross-sectional design, brings together the self-perception in eHealth competences, through the application of the eHealth Literacy Scale (eHeals), to 60 participants who were studying their professional practice to access the title of Speech Therapist. Results: the results reveal a significant difference between students who participated in an electronic health skills training pro-gram compared to those who were not part of such a program in their university education. Conclusion: the implementation of digital health literacy programs in higher education increases the ability to search for and evaluate the quality of health information online. ? 2024; Los autores.",Digital Health Literacy; Digital Tools; E-Heals; E-Health; E-Health Literacy; Health Careers; Health Professionals; Higher Education,
5470,"Wati, Dwi Ana Ratna (56027764900); ?aplánová, Anetta (6506758007); Darmo, ?ubomír (56845622900)",Identification of Digital Divide across Indonesian Provinces: the Analysis of Key Factors,2024,10.54694/stat.2024.3,"Despite the economic and societal benefits of digitalisation and digital transformation, it is necessary to map country’s digital conditions and identify the digital divide to formulate an effective strategy. The digital divide should be measured periodically to monitor progress and determine continuous improvement. This paper identifies the current digital divide among provinces in Indonesia. The study uses the hierarchical agglomerative clustering method based on The Indonesian Digital Society Index data from the Ministry of Communication and Informatics. It also analyses some key factors of the digital divide based on data from the Indonesian Bureau of Statistics using the multiple linear regression model. The results show three types of the digital divide across Indonesian provinces related to access, usage, and outcomes of information and communication technology. Gross Regional Domestic Product per capita, Wage/Salary, Proportion of Formal Labor, and Size of the Working-Age Population are identified as factors significantly affecting the digital divide. ? (2024), (Cesky Statisticky Urad). All Rights Reserved.",digital divide; Digital transformation; hierarchical clustering; linear regression model,
5471,"Ahmad, Maqsood (57209157046); Wu, Qiang (35146942200); Ahmed, Shakeel (58027002600)",Does CSR digitalization improve the sustainable competitive performance of SMEs? Evidence from an emerging economy,2024,10.1108/SAMPJ-03-2023-0169,"Purpose: This study aims to investigate the influence of the digitalization of corporate social responsibility (CSR) on the sustainable competitive performance (SCP) of small- and medium-sized enterprises (SMEs) in an emerging economy and to examine the moderating effect of digital organizational culture on this relationship. Design/methodology/approach: Data collection was conducted through a survey completed by 311 owners and top managers operating in service, trading and manufacturing sector SMEs positioned within the twin cities of Pakistan. A convenient purposively sampling technique and snowball method were used for data collection, and structural equation modeling was used for data analysis. Findings: The results of this study suggest that CSR digitalization has a markedly positive influence on the SCP. Digital organizational culture appears to moderate these relationships. Practical implications: This study highlights the importance of considering CSR digitalization and fostering a digital organizational culture for SMEs to achieve SCP. The findings provide valuable insights for strategic decision-makers, including owners, CEOs and senior management of SMEs, to enhance their knowledge concerning how and why a digital organizational culture makes it easier to digitalize CSR activities, with the ultimate objective of ensuring SCP and SME growth. Overall, the findings of this study have practical implications for policymakers and managers in SMEs as they can promote the adoption of digital technologies in CSR initiatives and develop a digital organizational culture within the organization. This would contribute to enhancing the SCP of SMEs. Thus, this research is beneficial for business actors, policymakers and researchers seeking to enhance SMEs’ SCP. Social implications: This study provides valuable guidance to the senior management of SMEs regarding successfully adopting and integrating digital technologies into their CSR practices. This integration can lead to increased social and environmental benefits, which positively impact both business and society. Policymakers can use these findings to develop policies and initiatives to encourage CSR digitalization among SMEs. By providing support and incentives for digital transformation, policymakers can help SMEs adopt digital tools to improve their CSR performance, contributing to economic growth and sustainability. Originality/value: This study pioneers research on the links between CSR digitalization, digital organizational culture and the SCP of SMEs. This study contributes to the literature by defining CSR digitalization as an antecedent to the SCP of SMEs. In addition, this study underlines the significance of CSR digitalization for the achievement of SMEs’ SCP of SMEs with the moderating role of digital organizational culture. Overall, this study enriches the resource base view literature through empirical evidence. ? 2023, Emerald Publishing Limited.",CSR digitalization; Digital organizational culture; Sustainable competitive performance of SMEs,
5472,"Clarke, Roger (56472930200); Michael, Katina (35619343500); Abbas, Roba (35172585700)",Robodebt: A Socio-Technical Case Study of Public Sector Information Systems Failure,2024,10.3127/ajis.v28.4681,"Large-scale public sector information systems (PSIS) that administer social welfare payments face considerable challenges. Between 2014 and 2023, an Australian government agency conceived and implemented the Online Compliance Intervention (OCI) scheme, widely referred to as Robodebt. The scheme’s primary purpose was to apply digital transformation in order to reduce labour costs and increase recovery of overpayments. Among its key features were a simplified, but inherently erroneous, estimation method called income averaging, and a new requirement that welfare recipients produce documentation for income earned years earlier. Failure by welfare recipients to comply with mandates resulted in the agency recovering what it asserted to be overpayments. This article presents a case study of Robodebt and its effects on over 1 million of its clients. The detailed case study relies on primary data through Senate and other government hearings and commissions, and secondary data, such as media reports, supplemented by academic sources. Relevant technical features include (1) the reliance on the digital persona that the agency maintains for each client, (2) computer-performed inferencing from client data, and (3) automated decision-making and subsequent action. This article employs a socio-technical systems approach to understanding the factors underlying a major PSIS project failure, by focusing on the system’s political and public service sponsors; its participants (users); the people affected by it (usees); and the broader economic, social, and political context. Practical and theoretical insights are presented, with the intention of highlighting major practical lessons for PSIS, and the relevance of an articulated socio-technical frame for PSIS. ? (2024), (Australasian Association for Information Systems). All rights reserved.",Case study; Digitalisation; IS failure; Public sector IS; Socio-technical systems,
5473,"Azarkasb, Seyed Omid (35096069200); Khasteh, Seyed Hossein (23485259900)",Economic and Global Successes through the Internet of Everything (IoE) in the World Countries,2024,10.61186/jist.44181.12.47.228,"The rapid evolution of information and communication technology (ICT) in recent decades has triggered profound transformations across the global economic landscape. A key driver of this transformation is the Internet of Everything (IoE), which integrates objects, data, people, and processes to create interconnected ecosystems that generate unprecedented value. The rise of IoE has not only revolutionized technological innovation but has also played a critical role in reshaping global economies by fostering competitiveness and unlocking new economic opportunities. This article examines the economic impacts and technological breakthroughs driven by IoE in six selected countries—spanning developed, developing, and neighboring economies. By analyzing their experiences, we highlight how these nations have utilized IoE to achieve sustainable growth, strengthen market positions, and accelerate their technological advancement. Countries venturing into the realm of IoE benefit from two key aspects. Firstly, they gain new value from technological innovation, and secondly, they secure competitive advantages and market shares against nations that have yet to invest and adapt to the IoE market. Studying pioneering and trailblazing countries in the realm of this technology, unveiling their patterns, visions, and key achievements, not only provides clear insights, identifies needs, and fosters advancements, but also critically examines and analyzes the subject matter. The findings offer essential insights for policymakers, business leaders, and innovators, providing a roadmap for leveraging IoE to maximize economic benefits and drive digital transformation on a global scale. ? (2024), (Iranian Academic Center for Education Culture and Research). All Rights Reserved.",Competitive Advantage; Digital Economy; Digital Transformation; Economic Growth; Global Success; Internet of Everything (IoE); Sustainable Development; Technological Innovation,
5474,"Arora, Aashish (58070644300); Gupta, Rajeev (57211372154)",SNRLM: a cyber-physical based stepwise noise removal and learning model for automated quality assurance,2024,10.1007/s41870-023-01452-y,"Businesses require processes that consistently meet high-quality standards to build a reputation for excellence. Modern technologies like IoT and cyber-physical systems are transforming product quality assurance, making it faster, more efficient, and adaptable to environments. This paper advocates for using cyber-physical systems (CPS) in production industries to enhance quality assurance. The reasons include ensuring production consistency, increasing efficiency, cutting costs by minimizing manual labor and inspections, improving defect detection accuracy, and offering scalability for evolving production demands. This paper, therefore, introduces a CPS system to assure product quality. For the experimental investigation, the paper used the casting product of defective and non-defective samples. A machine learning model is presented for quality assurance. The model is termed a stepwise noise removal and learning model (SNRLM) in which a digital filter is used to remove the noise from the captured product images. The result analysis was presented with a baseline model (SNRLM without digital filter) and achieved the highest accuracy of 97.8% for product quality assurance. The paper also presented a comparative analysis for state of art models and achieved a 5% improvement over existing models and concluded that the SNRLM may dramatically reduce inspection volumes, leading to economic gains. ? The Author(s), under exclusive licence to Bharati Vidyapeeth's Institute of Computer Applications and Management 2023.",Automation; Cloud computing; Fault detection; IoT; Product quality assurance,
5475,"H?ium, Kari (57997609500); Erichsen, Torunn (57997609600); Johannessen, Lilja Marlen (57997445000); Raaheim, Arild (27467661400); Torbj?rnsen, Astrid (38962283000)",What characterizes the use of digital technology in bachelor-level practice placements in health programs?,2024,10.1016/j.nepr.2024.103883,"Aim: The study aimed to investigate what characterizes the use of digital technology in bachelor-level practice placements in health programs. Background: Practice placement for health students in higher education is complex and suffers from a lack of personnel and scant resources. However, the requirements and expectations of the students in managing an evidence-based practice are increasing. This decade, digital transformation in society and higher education can potentially improve students learning in higher education and practice placement due to increased availability for closer communication and collaboration. Design: A systematic review of reviews was conducted based on Joanna Briggs Institute Framework. Methods: Bibliographical databases were searched for studies published between 2010–2022. Out of 4891 screened articles, 15 met eligibility criteria and were included in this review. Results: The analysis revealed three main topics that elucidate what characterises the use of digital technology in placements: Leveraging digital solutions for enhanced practical learning; Empowering student learning and confidence in practice placement; and The value of interactive collaboration. Conclusions: The findings show that digital technology used in a structured pedagogical framework may support and enhance students learning in practice placement. However, further work needs to be done to keep up with the rapid development of digital technology in practice placement in health work environments. ? 2024 The Authors",Clinical practice; Digital technology; Higher health education; Review over reviews; Technology- enhanced learning; Undergraduate students,"Clinical Competence; Digital Technology; Health Promotion; Humans; Learning; Students; Students, Nursing; clinical competence; digital technology; health promotion; human; learning; nursing student; student"
5476,"Wu, Xinke (59559177000); Huo, Linwen (59505306700)",The role of digital transformation in enhancing social and economic development: a technology management perspective with moderation of ethics,2024,10.1504/IJISCM.2024.144420,"This study explores the connections between digital transformation practices (DTP) and sustainable development of the organisation in terms of social, environmental, and economic. Second, the study explores the role of ethics as a moderator between the connection of DTP and sustainable development from the domain of China. Therefore, we used a total of seven hundred and ninety-one questionnaires to assess the empirical outcomes. It found that DTP (e.g., cloud computing, data analytics, internet of things (IoT) implementation, renewable energy integration, remote work enablement, green IT practices, and green data center designs) positively correlated with organisations’ sustainable development. Moreover, the study affirmed a moderating effect of ethics between the connection of DTP and sustainable development. Besides, this study provided the lines for managerial implications along with theoretical implications. ? 2024 Inderscience Enterprises Ltd.",digital transformation; ethics; structure equation modelling; sustainable development; technology management,Ethical technology; Sustainable development goals; Cloud-computing; Data analytics; Digital transformation; Green data centers; Green-IT; Renewable energy integrations; Social and economic development; Social-economic; Structure equation models; Technology managements; Green development
5477,"Li, Junjie (57221338594); Xie, Weikang (57686094800); Li, Huihao (58235173000); Qian, Xiaoyuan (58136907700); Shi, Jihao (57192160592); Xie, Zonghao (58235850000); Wang, Qing (58235173100); Zhang, Xinqi (57212377853); Chen, Guoming (56911285000)",Real-time hydrogen release and dispersion modelling of hydrogen refuelling station by using deep learning probability approach,2024,10.1016/j.ijhydene.2023.04.126,"Hydrogen release and dispersion from hydrogen refuelling stations have the potential to cause explosion disaster and bring significant causalities and economic losses to the surroundings. Real-time spatial hydrogen plume concentration prediction is essential for the quick emergency response planning to dissipate such flammable vapor cloud and prevent explosion disaster. Deep learning approaches have recently been applied to real-time gas release and dispersion modeling, however, are ‘over-confident’ for spatial plume concentration and boundary estimation, which could not support the robust decision-makings. This study proposes a hybrid deep probability learning-based spatial hydrogen plume concentration prediction model, namely DPL_H2Plume by integrating deep learning and Variational Bayesian Inference. Numerical model of hydrogen release and dispersion from hydrogen refuelling station is built to construct the benchmark dataset. By using such dataset, two pre-defined parameters, namely Monte Carlo sampling number m = 300 and dropout probability p = 0.1 are determined to ensure the model's tradeoff between inference accuracy and efficiency. Comparison between our proposed model and the state-of-the-art model is also conducted. The results demonstrate that our model exhibits a competitive accuracy of R2 = 0.97 as well as an inference time 3.32 s. In addition, our model gives the comprehensive estimations including not only spatial hydrogen plume concentration but also its uncertainty. Also, our model provides the more accurate estimation at plume boundary compared to the state-of-the-art model. Overall, our proposed model could provide reliable alternative for constructing a digital twin for emergency management of hydrogen refuelling station. ? 2023",Deep learning; Digital twin; Hydrogen refuelling station; Hydrogen release and dispersion; Variation Bayesian inference,Bayesian networks; Decision making; Deep learning; Disaster prevention; Disasters; Dispersions; E-learning; Inference engines; Learning systems; Losses; Monte Carlo methods; Risk management; Bayesian inference; Concentration prediction; Deep learning; Dispersion models; Hydrogen dispersions; Hydrogen refueling stations; Hydrogen release; Plume concentrations; Real- time; Variation bayesian inference; Hydrogen
5478,"Karanina, Elena V. (57192661919); Karaulov, Vasily M. (57194595826); Konysheva, Aliya V. (36966269300)", THE CONCEPT OF RESILIENCE-DIAGNOSIS OF THE REGIONAL ECOSYSTEM ON THE BASIS OF THE DIGITAL TWIN MODEL,2024,10.24874/IJQR18.02-19,"For many researchers the task of assessing the socio-economic security of a region involves using a system of security criteria based on comparng the values of indicators of the regional system with fixed threshold levels. This approach, at best, provides an assessment of the current state of the security of the regional system, but does not allow predicting the reaction of the state of the security system to the negative impact of external factors. For this it is necessary to additionally take into account sustainability - an ability of the regional security system to resist the impact of external threats. Therefore, diagnosing the ecosystem of the region should include steps to assess sustainability. From this point of view, resilience-diagnostics can be considered as a superstructure on the system of diagnostics of the socio-economic security of the region, and for the integration of diagnostic processes, general computational algorithms should be used based on the digital model of the regional security system - a digital twin. The article presents an algorithm for resilience-diagnostics of the ecosystem of the region based on the digital twin model of the ecosystem security, the results of its testing, including graphic visualizations in the form of heat maps, digital portraits of the security and sustainability of the ecosystem of the region. ? (2024), (Centar for Quality). All rights reserved.",Digital portrait of the economic security of the region; Digital portrait of the regional ecosystem sustainability; Digital twin; Economic security; Heat map; Indicators; Regional ecosystem; Resilience-diagnostics; Sustainability indices,
5479,"Hrebenozhko, Ruslan (59658908000); Melnyk, Viktor (57216541712)",Innovative technologies in fiscal policy as a driver of digital transformations of the Ukrainian economy,2024,10.21533/pen.v12.i4.265,"This article presents the results of a study of the impact of the level of digital technology development in the sphere of Ukraine's fiscal policy on the digital transformation of the economy as a whole. Since the digitalization of the economy determines not only the level of possibilities for its integration into the global economic space but also the level of ensuring the competitiveness of all components of complex economic systems, the digitalization of the economy is an objective necessity, that is, the degree of sustainability of the monetary system depends on the level of digitalization. Since Ukraine has chosen the scenario of primacy in introducing innovative technologies in the fiscal policy sphere, other sectors of the economy should use the experience gained from the budgetary system to implement innovations. To obtain optimal data on the degree of readiness of the fiscal system to become a source of such knowledge and other components of the economy to accept the data obtained, a cross-sectional study was conducted, which involved business representatives, taxpayers, students of economic specialties, employees of state administration and local government bodies and employees of tax and customs authorities. As a result of the study, index characteristics were obtained in four areas of research: fiscal policy, business and finance, digital state, problems, and prospects of digitalization of the economy. According to the results obtained, employees of tax and customs authorities can participate in the process of transferring positive experience in the field of digitalization of economic processes to other sectors of the economy. ? The Author 2024. This work is licensed under a Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/) that allows others to share and adapt the material for any purpose (even commercially), in any medium with an acknowledgement of the work's authorship and initial publication in this journal.",Cross-sectional study; Digital state; Digital tools; Government-business communications,
5480,"Gibreel, Omer (56606242100); Alsaber, Ahmed R. (57204865320); Mahenthiran, Sakthi (6505935320); Tahat, Luay (6507747802)",Factors and Barriers to Cloud Computing Adoption for Small and Medium-Sized Enterprises in Kuwait,2024,10.47556/J.WJSTSD.19.3-4.2024.9,"PURPOSE: This study aims to examine the relevance of factors that research has identified as barriers to the widespread adoption of cloud computing, particularly for digital transformation and IT adoption by small and medium-sized enterprises (SMEs) in Kuwait. DESIGN/METHODOLOGY/APPROACH: This research investigates the independent economic factors, such as the level of trust in an organisation and the importance of cost saving, and social factors affected by cultural factors, such as the power distance between a superior and their subordinates and the desire to avoid uncertainty. The impact of cyber security and IT complexity on business-to-business IT adoption will also be examined. The research has also identified moderators, such as the effect of fairness and organisational (procedural and distributive) justice, as important predictors of IT diffusion in a sector. FINDINGS: Based on our findings, the overall aim of our study is to provide a general macro and micro strategy to enable the development, usage, and adoption of cloud computing in Kuwait for SMEs. Our findings suggest that all socio-economic factors in the form of trust in supervisor, economic factors in the form of cost saving, the social-cultural factors in the form of power distance and uncertainty avoidance, justice in the form of procedural justice, security factors in the form of cyber security, and technical knowledge in the form of complexity do have an effect on the adoption of cloud computing for SMEs. The results suggest the strong need to look at the adoption of cloud computing from an interdisciplinary perspective, encompassing not only the technical side but the socio-economic and behavioural side of cloud computing adoption. ? 2024 World Journal of Science, Technology and Sustainable Development (WJSTSD).",Cloud Computing; Digital Transformation; Small and Medium-Sized Enterprises; Technology Adoption,
5481,"Ding, Yingying (57214511607); Shi, Ziyi (57212931204); Xi, Ruichao (58536942300); Diao, Yanxia (58308814900); Hu, Yu (58872347500)","Digital transformation, productive services agglomeration and innovation performance",2024,10.1016/j.heliyon.2024.e25534,"Innovation is a necessary guarantee for sustainable development. Stepping into the digital age, digital transformation has triggered the innovation revolution. This paper takes 30 provinces in China from 2012 to 2022 as the research sample, we verify whether digital transformation has improved innovation performance. Based on the Solow growth model and agglomeration economics theory, we also explore the moderating role and threshold effect of agglomeration in productive service industry between digital transformation and innovation performance. To achieve this, we apply the methods of machine learning and text analysis to construct an evaluation index of regional digital transformation and measure it. The paper finds that China's digital transformation index is increasing, but there is a digital divide between regions. We also determine that digital transformation significantly and positively contributes to the level of innovation performance. Considering the threshold effect of agglomeration in productive service industry, the impact of digital transformation on innovation performance exhibits non-linear characteristics, As the level of agglomeration continues to exceed the threshold, the innovation-driven effect of digital transformation increases. The research results help clarify the relationship between digital transformation and innovation performance, and provide favorable policy directions for regional governments to identify digital divides and make reasonable industrial layouts. Thus, it can promote the construction of digital China and innovation power, injecting strong innovation force into the realization of SDGs. ? 2024 The Authors",Digital transformation; Dynamic threshold model; Innovation performance; Machine learning; Productive services agglomeration,
5482,"Stumbrien?, Dovil? (57194490999); Jevsikova, Tatjana (9639557900); Kontvain?, Vita (57223844216)",Key factors influencing teachers’ motivation to transfer technology-enabled educational innovation,2024,10.1007/s10639-023-11891-6,"In response to the digital transformation in education, teachers are expected to develop new competencies. Although teachers gained valuable experience in digital technology use during the COVID-19 pandemic, research and practice show that primary school teachers need to be supported and trained for the new normal of innovative, advanced use and adoption of digital technologies in educational practice. This study aims to identify the key factors that influence teachers’ motivation to transfer technology-enabled educational innovation in primary education. The Learning Transfer System Inventory (LTSI) factors and the adoption factors of technology-enabled educational innovation have been conceptually mapped. The LTSI model has been empirically validated with data collected from 12.7% of Lithuanian primary school teachers. The structural equation modeling technique was utilized to analyze causal relationships of factors influencing teachers’ motivation to transfer technology-enabled educational innovation. The qualitative research method was used to provide a deeper understanding of key factors that influence motivation to transfer. The conducted analysis shows that motivation to transfer is significantly influenced by all five domains of factors: perceived value, personal characteristics, social practices, organizational and technology-enabled innovation factors. Motivation to transfer innovation varies according to teachers’ perceived digital technology integration skills, which underpin the importance of applying different roles and strategies based on the teachers’ skills. This study provides implications for designing effective professional development for in-service teachers and creating a suitable environment in schools for the adoption of innovation in post-COVID-19 education. ? The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.",Learning transfer; LTSI; Motivation to transfer; Teacher training; Technology-enabled educational innovation,
5483,"Li, Pingrui (58812054200); Zhao, Xu (58812610300)",The impact of digital transformation on corporate supply chain management: Evidence from listed companies,2024,10.1016/j.frl.2023.104890,"In the current economic environment, the digital transformation of businesses plays a pivotal role in supply chain management. This study, based on data from Chinese listed companies between 2012 and 2021, empirically tests the significant enhancement of total factor productivity in enterprises due to digital transformation by matching data at the enterprise level of upstream suppliers and downstream customers. This conclusion remains valid even after endogeneity and robustness tests. Further analysis reveals that digital transformation exerts its influence by optimizing supply-demand matching and reducing transaction costs. The impact of digital transformation exhibits heterogeneity in the characteristics of vertical relationship structures, including differences in enterprise scale, ownership nature, and innovation level. Such changes drive the overall efficiency improvement of the corporate supply chain, leading to higher productivity for businesses. The research results provide compelling evidence for understanding the central role of digital transformation in supply chain management and offer significant insights for advancing the digital process and construction of supply chains. ? 2023","Corporate productivity; Digital transformation; Supply chain management efficiency, Financing constraints",
